vkmt,vdpp,d_sat,d_sup,ex_effi,in_effi,trust,engage,SEX,AGE,weight,year,N_kmt,N_dpp,NPID,EDU_2.0,EDU_3.0,EDU_4.0,EDU_5.0,PartyID_1.0,PartyID_2.0,BLosser
10.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,0.78521760826911,2008,0,0,0,0,0,0,0,0,0,0
0.0,10.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,0.993002416900551,2008,1,0,0,0,0,0,0,0,1,0
4.0,7.0,4.0,0.0,4.0,2.0,2.0,3.0,0.0,2.0,1.12568020511324,2008,0,0,0,0,1,0,0,0,1,0
3.0,8.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,4.0,0.775700483973994,2008,0,0,0,0,0,1,0,0,1,0
5.0,6.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,5.0,0.78521760826911,2008,0,0,0,0,0,0,0,0,1,0
6.0,5.0,3.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,0.897560123040092,2008,0,0,0,0,0,0,1,1,0,0
6.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,5.0,0.828674450579788,2008,0,1,0,0,1,0,0,1,0,0
0.0,7.0,3.0,0.0,3.0,2.0,2.0,3.0,0.0,4.0,1.02126961424478,2008,1,0,0,1,0,0,0,0,1,0
8.0,3.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,1.0,1.29471586451324,2008,0,0,0,0,1,0,0,1,0,0
7.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,1.26504698888493,2008,0,1,0,0,1,0,0,1,0,0
2.0,8.0,4.0,0.0,4.0,1.0,2.0,2.0,0.0,2.0,1.00240235051172,2008,1,0,0,0,0,1,0,0,1,0
3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.03234055762538,2008,0,0,0,0,0,0,1,0,0,0
3.0,7.0,2.0,1.0,3.0,2.0,2.0,3.0,0.0,4.0,0.844774718870125,2008,0,0,0,0,0,0,0,0,1,0
7.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,1.0,1.05655181924598,2008,0,1,0,0,0,0,1,1,0,0
1.0,7.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,0.775700483973994,2008,1,0,0,0,0,1,0,0,1,0
5.0,5.0,3.0,0.0,2.0,2.0,3.0,1.0,1.0,5.0,0.78521760826911,2008,0,0,0,0,0,0,0,0,0,0
5.0,5.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,1.0,1.29471586451324,2008,0,0,0,0,1,0,0,0,0,0
9.0,6.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,4.0,0.997866856930621,2008,0,0,0,1,0,0,0,1,0,0
7.0,2.0,3.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,0.918610408044032,2008,0,1,0,0,0,0,1,0,0,0
0.0,10.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,0.783764671512624,2008,1,0,0,0,0,0,0,0,1,0
5.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,0.979431943272572,2008,0,0,0,0,0,1,0,0,0,0
10.0,1.0,3.0,0.0,2.0,1.0,2.0,3.0,0.0,5.0,0.971532524711409,2008,0,1,0,1,0,0,0,1,0,0
5.0,8.0,3.0,0.0,2.0,2.0,2.0,3.0,1.0,3.0,1.17295674046965,2008,0,0,0,1,0,0,0,0,1,0
8.0,0.0,3.0,1.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0998848418848,2008,0,1,0,0,1,0,0,1,0,0
8.0,3.0,4.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,0.891527671630456,2008,0,0,0,0,1,0,0,1,0,0
5.0,5.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,5.0,0.78521760826911,2008,0,0,0,0,0,0,0,0,0,0
