AGE,EDU,SEX,AREA,Vex,weight,strata
1,5,1,1,莫德納疫苗（Moderna）,0.9889079676493406,1
2,5,1,1,輝瑞 BioNTech 疫苗（BNT）,0.7910125631510662,3
2,4,1,6,阿斯特捷利康疫苗（AZ）,0.9401931538591555,53
1,4,1,1,阿斯特捷利康疫苗（AZ）,0.9889079676493406,1
3,5,0,5,阿斯特捷利康疫苗（AZ）,0.6013569553133606,46
1,4,0,1,阿斯特捷利康疫苗（AZ）,0.94165434333088,2
2,4,1,5,阿斯特捷利康疫苗（AZ）,0.836839862782963,43
1,4,1,3,輝瑞 BioNTech 疫苗（BNT）,0.9832047735659156,21
1,4,1,1,輝瑞 BioNTech 疫苗（BNT）,0.9889079676493406,1
4,3,0,1,莫德納疫苗（Moderna）,0.9678591869396733,8
4,4,1,5,阿斯特捷利康疫苗（AZ）,1.6724231700776497,47
2,4,0,5,阿斯特捷利康疫苗（AZ）,0.6674270225778453,44
3,4,1,3,阿斯特捷利康疫苗（AZ）,1.2223104602474824,25
1,4,0,4,阿斯特捷利康疫苗（AZ）,0.6773314731449528,32
2,4,1,3,莫德納疫苗（Moderna）,0.7737022319769573,23
2,4,0,3,阿斯特捷利康疫苗（AZ）,0.7800400091415018,24
3,5,0,5,輝瑞 BioNTech 疫苗（BNT）,0.6013569553133606,46
4,3,0,3,輝瑞 BioNTech 疫苗（BNT）,0.8559929027446372,28
3,5,1,1,阿斯特捷利康疫苗（AZ）,0.8777191146925415,5
3,4,1,5,阿斯特捷利康疫苗（AZ）,0.8766904072306281,45
4,4,1,1,沒有接種（尚未接種、未在國內接種、不打算接種）,0.9123872746213814,7
1,4,1,1,輝瑞 BioNTech 疫苗（BNT）,0.9889079676493406,1
3,4,1,3,輝瑞 BioNTech 疫苗（BNT）,1.2223104602474824,25
3,4,1,5,阿斯特捷利康疫苗（AZ）,0.8766904072306281,45
1,4,0,1,輝瑞 BioNTech 疫苗（BNT）,0.94165434333088,2
3,4,1,2,輝瑞 BioNTech 疫苗（BNT）,0.8868191232465352,15
4,4,1,1,阿斯特捷利康疫苗（AZ）,0.9123872746213814,7
1,5,1,4,輝瑞 BioNTech 疫苗（BNT）,0.9711333722895622,31
1,4,0,4,阿斯特捷利康疫苗（AZ）,0.6773314731449528,32
