AGE,EDU,SEX,AREA,Vex,weight,strata
1,5,1,1,莫德納疫苗（Moderna）,0.6356443605415816,1
2,5,1,1,輝瑞 BioNTech 疫苗（BNT）,0.5744757894849678,3
2,4,1,6,阿斯特捷利康疫苗（AZ）,0.8367605043793995,53
1,4,1,1,阿斯特捷利康疫苗（AZ）,0.9258564163505314,1
3,5,0,5,阿斯特捷利康疫苗（AZ）,0.4973340055430887,46
1,4,0,1,阿斯特捷利康疫苗（AZ）,0.8398343110719914,2
2,4,1,5,阿斯特捷利康疫苗（AZ）,0.8367605043793995,43
1,4,1,3,輝瑞 BioNTech 疫苗（BNT）,0.9258564163505314,21
1,4,1,1,輝瑞 BioNTech 疫苗（BNT）,0.9258564163505314,1
4,3,0,1,莫德納疫苗（Moderna）,1.2871810460886024,8
4,4,1,5,阿斯特捷利康疫苗（AZ）,0.6878758515881669,47
2,4,0,5,阿斯特捷利康疫苗（AZ）,0.7590163758844285,44
3,4,1,3,阿斯特捷利康疫苗（AZ）,0.7985969089513765,25
1,4,0,4,阿斯特捷利康疫苗（AZ）,0.8398343110719914,32
2,4,1,3,莫德納疫苗（Moderna）,0.8367605043793995,23
2,4,0,3,阿斯特捷利康疫苗（AZ）,0.7590163758844285,24
3,5,0,5,輝瑞 BioNTech 疫苗（BNT）,0.4973340055430887,46
4,3,0,3,輝瑞 BioNTech 疫苗（BNT）,1.2871810460886024,28
3,5,1,1,阿斯特捷利康疫苗（AZ）,0.5482746704092548,5
3,4,1,5,阿斯特捷利康疫苗（AZ）,0.7985969089513765,45
4,4,1,1,沒有接種（尚未接種、未在國內接種、不打算接種）,0.6878758515881669,7
1,4,1,1,輝瑞 BioNTech 疫苗（BNT）,0.9258564163505314,1
3,4,1,3,輝瑞 BioNTech 疫苗（BNT）,0.7985969089513765,25
3,4,1,5,阿斯特捷利康疫苗（AZ）,0.7985969089513765,45
1,4,0,1,輝瑞 BioNTech 疫苗（BNT）,0.8398343110719914,2
3,4,1,2,輝瑞 BioNTech 疫苗（BNT）,0.7985969089513765,15
4,4,1,1,阿斯特捷利康疫苗（AZ）,0.6878758515881669,7
1,5,1,4,輝瑞 BioNTech 疫苗（BNT）,0.6356443605415816,31
1,4,0,4,阿斯特捷利康疫苗（AZ）,0.8398343110719914,32
2,4,0,5,阿斯特捷利康疫苗（AZ）,0.7590163758844285,44
3,4,0,5,阿斯特捷利康疫苗（AZ）,0.7243985924913398,46
2,4,0,5,阿斯特捷利康疫苗（AZ）,0.7590163758844285,44
2,5,0,5,輝瑞 BioNTech 疫苗（BNT）,0.5211007564125192,44
1,4,1,1,阿斯特捷利康疫苗（AZ）,0.9258564163505314,1
2,4,1,1,阿斯特捷利康疫苗（AZ）,0.8367605043793995,3
1,4,1,1,輝瑞 BioNTech 疫苗（BNT）,0.9258564163505314,1
1,4,1,3,輝瑞 BioNTech 疫苗（BNT）,0.9258564163505314,21
3,4,1,1,輝瑞 BioNTech 疫苗（BNT）,0.7985969089513765,5
2,4,1,1,阿斯特捷利康疫苗（AZ）,0.8367605043793995,3
2,3,0,4,輝瑞 BioNTech 疫苗（BNT）,1.56578001519603,34
3,4,1,5,阿斯特捷利康疫苗（AZ）,0.7985969089513765,45
3,4,1,1,阿斯特捷利康疫苗（AZ）,0.7985969089513765,5
3,4,0,1,輝瑞 BioNTech 疫苗（BNT）,0.7243985924913398,6
3,4,1,1,阿斯特捷利康疫苗（AZ）,0.7985969089513765,5
4,4,1,1,阿斯特捷利康疫苗（AZ）,0.6878758515881669,7
3,4,0,4,阿斯特捷利康疫苗（AZ）,0.7243985924913398,36
4,4,1,1,阿斯特捷利康疫苗（AZ）,0.6878758515881669,7
3,4,0,1,阿斯特捷利康疫苗（AZ）,0.7243985924913398,6
2,5,1,1,輝瑞 BioNTech 疫苗（BNT）,0.5744757894849678,3
3,4,1,1,輝瑞 BioNTech 疫苗（BNT）,0.7985969089513765,5
1,4,0,2,輝瑞 BioNTech 疫苗（BNT）,0.8398343110719914,12
3,4,1,5,輝瑞 BioNTech 疫苗（BNT）,0.7985969089513765,45
2,3,0,3,阿斯特捷利康疫苗（AZ）,1.56578001519603,24
3,3,1,1,高端疫苗（Medigen）,1.6474309645511322,5
3,4,1,3,阿斯特捷利康疫苗（AZ）,0.7985969089513765,25
3,4,0,4,阿斯特捷利康疫苗（AZ）,0.7243985924913398,36
1,4,0,4,輝瑞 BioNTech 疫苗（BNT）,0.8398343110719914,32
2,5,1,1,莫德納疫苗（Moderna）,0.5744757894849678,3
3,4,0,5,阿斯特捷利康疫苗（AZ）,0.7243985924913398,46
4,1,0,4,輝瑞 BioNTech 疫苗（BNT）,5.0580842982260865,38
3,4,1,6,沒有接種（尚未接種、未在國內接種、不打算接種）,0.7985969089513765,55
3,4,1,2,輝瑞 BioNTech 疫苗（BNT）,0.7985969089513765,15
5,4,1,5,阿斯特捷利康疫苗（AZ）,0.5485249296888862,49
5,1,0,1,阿斯特捷利康疫苗（AZ）,4.033409993444596,10
1,4,1,1,阿斯特捷利康疫苗（AZ）,0.9258564163505314,1
2,4,1,2,阿斯特捷利康疫苗（AZ）,0.8367605043793995,13
2,4,0,1,阿斯特捷利康疫苗（AZ）,0.7590163758844285,4
3,4,1,5,輝瑞 BioNTech 疫苗（BNT）,0.7985969089513765,45
5,4,1,5,阿斯特捷利康疫苗（AZ）,0.5485249296888862,49
1,4,0,2,輝瑞 BioNTech 疫苗（BNT）,0.8398343110719914,12
5,5,1,1,輝瑞 BioNTech 疫苗（BNT）,0.3765883910461578,9
2,5,0,5,莫德納疫苗（Moderna）,0.5211007564125192,44
1,4,1,2,阿斯特捷利康疫苗（AZ）,0.9258564163505314,11
2,5,1,3,輝瑞 BioNTech 疫苗（BNT）,0.5744757894849678,23
3,4,0,3,沒有接種（尚未接種、未在國內接種、不打算接種）,0.7243985924913398,26
1,4,1,4,輝瑞 BioNTech 疫苗（BNT）,0.9258564163505314,31
4,4,1,1,阿斯特捷利康疫苗（AZ）,0.6878758515881669,7
2,4,0,1,輝瑞 BioNTech 疫苗（BNT）,0.7590163758844285,4
2,3,0,1,輝瑞 BioNTech 疫苗（BNT）,1.56578001519603,4
4,3,0,1,莫德納疫苗（Moderna）,1.2871810460886024,8
1,4,0,2,阿斯特捷利康疫苗（AZ）,0.8398343110719914,12
1,5,1,2,高端疫苗（Medigen）,0.6356443605415816,11
2,4,0,1,阿斯特捷利康疫苗（AZ）,0.7590163758844285,4
1,4,0,3,阿斯特捷利康疫苗（AZ）,0.8398343110719914,22
