AGE,EDU,SEX,AREA,Vex
1,5,1,1,莫德納疫苗（Moderna）
2,5,1,1,輝瑞 BioNTech 疫苗（BNT）
2,4,1,6,阿斯特捷利康疫苗（AZ）
1,4,1,1,阿斯特捷利康疫苗（AZ）
3,5,0,5,阿斯特捷利康疫苗（AZ）
1,4,0,1,阿斯特捷利康疫苗（AZ）
2,4,1,5,阿斯特捷利康疫苗（AZ）
1,4,1,3,輝瑞 BioNTech 疫苗（BNT）
1,4,1,1,輝瑞 BioNTech 疫苗（BNT）
4,3,0,1,莫德納疫苗（Moderna）
4,4,1,5,阿斯特捷利康疫苗（AZ）
2,4,0,5,阿斯特捷利康疫苗（AZ）
3,4,1,3,阿斯特捷利康疫苗（AZ）
1,4,0,4,阿斯特捷利康疫苗（AZ）
2,4,1,3,莫德納疫苗（Moderna）
2,4,0,3,阿斯特捷利康疫苗（AZ）
3,5,0,5,輝瑞 BioNTech 疫苗（BNT）
4,3,0,3,輝瑞 BioNTech 疫苗（BNT）
3,5,1,1,阿斯特捷利康疫苗（AZ）
3,4,1,5,阿斯特捷利康疫苗（AZ）
4,4,1,1,沒有接種（尚未接種、未在國內接種、不打算接種）
1,4,1,1,輝瑞 BioNTech 疫苗（BNT）
3,4,1,3,輝瑞 BioNTech 疫苗（BNT）
3,4,1,5,阿斯特捷利康疫苗（AZ）
1,4,0,1,輝瑞 BioNTech 疫苗（BNT）
3,4,1,2,輝瑞 BioNTech 疫苗（BNT）
4,4,1,1,阿斯特捷利康疫苗（AZ）
1,5,1,4,輝瑞 BioNTech 疫苗（BNT）
1,4,0,4,阿斯特捷利康疫苗（AZ）
2,4,0,5,阿斯特捷利康疫苗（AZ）
3,4,0,5,阿斯特捷利康疫苗（AZ）
2,4,0,5,阿斯特捷利康疫苗（AZ）
2,5,0,5,輝瑞 BioNTech 疫苗（BNT）
1,4,1,1,阿斯特捷利康疫苗（AZ）
2,4,1,1,阿斯特捷利康疫苗（AZ）
1,4,1,1,輝瑞 BioNTech 疫苗（BNT）
1,4,1,3,輝瑞 BioNTech 疫苗（BNT）
3,4,1,1,輝瑞 BioNTech 疫苗（BNT）
2,4,1,1,阿斯特捷利康疫苗（AZ）
2,3,0,4,輝瑞 BioNTech 疫苗（BNT）
3,4,1,5,阿斯特捷利康疫苗（AZ）
3,4,1,1,阿斯特捷利康疫苗（AZ）
3,4,0,1,輝瑞 BioNTech 疫苗（BNT）
3,4,1,1,阿斯特捷利康疫苗（AZ）
4,4,1,1,阿斯特捷利康疫苗（AZ）
3,4,0,4,阿斯特捷利康疫苗（AZ）
4,4,1,1,阿斯特捷利康疫苗（AZ）
3,4,0,1,阿斯特捷利康疫苗（AZ）
